timestamp,date,time,primary_activity,probability,latitude,longitude,lat_e7_original,lng_e7_original,distance_to_prev_m,accuracy_m,gps_source,time_to_gps_seconds,device_id,signal_type,all_activities_json
2025-08-16T13:44:06.221000+00:00,2025-08-16,13:44:06,STILL,0.94,52.0176081,8.5669785,520176081,85669785,0.0,64.1,WIFI,42.782,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.94}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.02}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.02}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T13:45:07.129000+00:00,2025-08-16,13:45:07,GPS_ONLY,,52.0176207,8.5669280,520176207,85669280,3.7,52.4,WIFI,0,409855794,position_only,[]
2025-08-16T13:47:28.801000+00:00,2025-08-16,13:47:28,STILL,0.96,52.0176033,8.5669384,520176033,85669384,2.1,26.259,UNKNOWN,18.275,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T13:50:51.373000+00:00,2025-08-16,13:50:51,STILL,0.96,52.0175871,8.5670154,520175871,85670154,5.6,22.193,UNKNOWN,24.242,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T13:53:07.155000+00:00,2025-08-16,13:53:07,GPS_ONLY,,52.0176012,8.5669275,520176012,85669275,6.2,24.773,UNKNOWN,0,409855794,position_only,[]
2025-08-16T13:54:04.425000+00:00,2025-08-16,13:54:04,UNKNOWN,0.41,52.0175390,8.5667550,520175390,85667550,13.7,46.707,WIFI,0.745,409855794,activity,"[{""activityType"": ""UNKNOWN"", ""probability"": 0.41}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.1}, {""activityType"": ""ON_FOOT"", ""probability"": 0.1}, {""activityType"": ""STILL"", ""probability"": 0.1}, {""activityType"": ""WALKING"", ""probability"": 0.1}, {""activityType"": ""RUNNING"", ""probability"": 0.1}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.1}]"
2025-08-16T13:55:47.178000+00:00,2025-08-16,13:55:47,GPS_ONLY,,52.0175664,8.5669848,520175664,85669848,16.0,38.447,UNKNOWN,0,409855794,position_only,[]
2025-08-16T13:57:27.043000+00:00,2025-08-16,13:57:27,STILL,0.8,52.0175949,8.5669267,520175949,85669267,5.1,56.1,WIFI,38.997,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.8}, {""activityType"": ""ON_FOOT"", ""probability"": 0.12}, {""activityType"": ""WALKING"", ""probability"": 0.12}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.03}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.03}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.03}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.02}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}]"
2025-08-16T13:58:27.162000+00:00,2025-08-16,13:58:27,GPS_ONLY,,52.0175952,8.5669378,520175952,85669378,0.8,27.815,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:00:06.836000+00:00,2025-08-16,14:00:06,GPS_ONLY,,52.0175796,8.5668523,520175796,85668523,6.1,38.095,WIFI,0,409855794,position_only,[]
2025-08-16T14:00:49.630000+00:00,2025-08-16,14:00:49,STILL,0.96,52.0175878,8.5669785,520175878,85669785,8.7,23.724,UNKNOWN,17.549,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T14:02:07.668000+00:00,2025-08-16,14:02:07,GPS_ONLY,,52.0176007,8.5669083,520176007,85669083,5.0,29.678,WIFI,0,409855794,position_only,[]
2025-08-16T14:04:12.189000+00:00,2025-08-16,14:04:12,UNKNOWN,0.41,52.0175989,8.5669851,520175989,85669851,5.3,22.982,UNKNOWN,24.977,409855794,activity,"[{""activityType"": ""UNKNOWN"", ""probability"": 0.41}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.1}, {""activityType"": ""ON_FOOT"", ""probability"": 0.1}, {""activityType"": ""STILL"", ""probability"": 0.1}, {""activityType"": ""WALKING"", ""probability"": 0.1}, {""activityType"": ""RUNNING"", ""probability"": 0.1}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.1}]"
2025-08-16T14:07:34.764000+00:00,2025-08-16,14:07:34,UNKNOWN,0.41,52.0175987,8.5669666,520175987,85669666,1.3,24.256,UNKNOWN,67.511,409855794,activity,"[{""activityType"": ""UNKNOWN"", ""probability"": 0.41}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.1}, {""activityType"": ""ON_FOOT"", ""probability"": 0.1}, {""activityType"": ""STILL"", ""probability"": 0.1}, {""activityType"": ""WALKING"", ""probability"": 0.1}, {""activityType"": ""RUNNING"", ""probability"": 0.1}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.1}]"
2025-08-16T14:09:07.206000+00:00,2025-08-16,14:09:07,GPS_ONLY,,52.0175587,8.5669371,520175587,85669371,4.9,24.307,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:10:57.375000+00:00,2025-08-16,14:10:57,STILL,0.77,52.0175544,8.5670210,520175544,85670210,5.8,30.726,UNKNOWN,49.783,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.77}, {""activityType"": ""ON_FOOT"", ""probability"": 0.12}, {""activityType"": ""WALKING"", ""probability"": 0.12}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.04}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.04}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.04}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.02}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}]"
2025-08-16T14:14:19.955000+00:00,2025-08-16,14:14:19,STILL,0.47,52.0175909,8.5670314,520175909,85670314,4.1,28.988,UNKNOWN,7.26,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.47}, {""activityType"": ""ON_FOOT"", ""probability"": 0.41}, {""activityType"": ""WALKING"", ""probability"": 0.41}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.06}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.06}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.04}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.02}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}]"
2025-08-16T14:17:42.506000+00:00,2025-08-16,14:17:42,UNKNOWN,0.41,52.0175964,8.5670145,520175964,85670145,1.3,27.277,UNKNOWN,35.259,409855794,activity,"[{""activityType"": ""UNKNOWN"", ""probability"": 0.41}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.1}, {""activityType"": ""ON_FOOT"", ""probability"": 0.1}, {""activityType"": ""STILL"", ""probability"": 0.1}, {""activityType"": ""WALKING"", ""probability"": 0.1}, {""activityType"": ""RUNNING"", ""probability"": 0.1}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.1}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.1}]"
2025-08-16T14:19:47.221000+00:00,2025-08-16,14:19:47,GPS_ONLY,,52.0175754,8.5670392,520175754,85670392,2.9,27.055,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:20:55.641000+00:00,2025-08-16,14:20:55,ON_FOOT,0.76,52.0176110,8.5669981,520176110,85669981,4.9,60.0,UNKNOWN,12.11,409855794,activity,"[{""activityType"": ""ON_FOOT"", ""probability"": 0.76}, {""activityType"": ""WALKING"", ""probability"": 0.76}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.11}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.11}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.09}, {""activityType"": ""ON_BICYCLE"", ""probability"": 0.02}, {""activityType"": ""RUNNING"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.0}]"
2025-08-16T14:21:54.697000+00:00,2025-08-16,14:21:54,GPS_ONLY,,52.0175546,8.5670443,520175546,85670443,7.0,40.616,WIFI,0,409855794,position_only,[]
2025-08-16T14:22:18.367000+00:00,2025-08-16,14:22:18,GPS_ONLY,,52.0176053,8.5669991,520176053,85669991,6.4,23.014,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:23:54.784000+00:00,2025-08-16,14:23:54,STILL,0.96,52.0176006,8.5670008,520176006,85670008,0.5,18.819,WIFI,2.958,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T14:26:00.730000+00:00,2025-08-16,14:26:00,GPS_ONLY,,52.0176063,8.5670168,520176063,85670168,1.3,19.621,WIFI,0,409855794,position_only,[]
2025-08-16T14:30:00.845000+00:00,2025-08-16,14:30:00,STILL,0.96,52.0176023,8.5670360,520176023,85670360,1.4,25.369,WIFI,2.889,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T14:32:06.728000+00:00,2025-08-16,14:32:06,GPS_ONLY,,52.0176036,8.5670274,520176036,85670274,0.6,30.191,WIFI,0,409855794,position_only,[]
2025-08-16T14:32:17.018000+00:00,2025-08-16,14:32:17,GPS_ONLY,,52.0175681,8.5671214,520175681,85671214,7.5,26.576,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:32:37.034000+00:00,2025-08-16,14:32:37,GPS_ONLY,,52.0175811,8.5670464,520175811,85670464,5.3,22.038,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:33:23.455000+00:00,2025-08-16,14:33:23,STILL,0.96,52.0176026,8.5670080,520176026,85670080,3.6,34.436,UNKNOWN,6.383,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 0.96}, {""activityType"": ""ON_FOOT"", ""probability"": 0.02}, {""activityType"": ""WALKING"", ""probability"": 0.02}, {""activityType"": ""IN_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""UNKNOWN"", ""probability"": 0.01}, {""activityType"": ""IN_ROAD_VEHICLE"", ""probability"": 0.01}, {""activityType"": ""IN_RAIL_VEHICLE"", ""probability"": 0.01}]"
2025-08-16T14:34:09.692000+00:00,2025-08-16,14:34:09,GPS_ONLY,,52.0175997,8.5670059,520175997,85670059,0.4,17.63,WIFI,0,409855794,position_only,[]
2025-08-16T14:34:37.078000+00:00,2025-08-16,14:34:37,GPS_ONLY,,52.0176017,8.5670035,520176017,85670035,0.3,20.086,UNKNOWN,0,409855794,position_only,[]
2025-08-16T14:36:12.653000+00:00,2025-08-16,14:36:12,GPS_ONLY,,52.0176054,8.5670580,520176054,85670580,3.8,40.921,WIFI,0,409855794,position_only,[]
2025-08-16T14:36:46.034000+00:00,2025-08-16,14:36:46,STILL,1.0,52.0176025,8.5669981,520176025,85669981,4.1,19.954,UNKNOWN,31.056,409855794,activity,"[{""activityType"": ""STILL"", ""probability"": 1.0}]"
2025-08-16T14:38:15.663000+00:00,2025-08-16,14:38:15,GPS_ONLY,,52.0176073,8.5670544,520176073,85670544,3.9,32.285,WIFI,0,409855794,position_only,[]
